ID,Title,Content,Short Description,Sku,Price,Regular Price,Sale Price,Total Sales,Eligibility,Next Highe Aassembly,OEM,OEM Part Number,TBQ,Categories
2336,P00023,"Seat, Spring","Seat, Spring",132db2a89393,57.28,57.28,,2,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MOD","350880 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 350880-1 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 350880-2 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 350880-3 : VARIABLE DISPLACEMENT HYDRAULIC PUM",Eaton Vickers,569362,no,Uncategorized
2337,P00029,"Screw, Cap, Socket Head","Screw, Cap, Socket Head",11ffde0bf8d9,75.92,75.92,,2,"727 SERIES, 727-100 SERIES, 727-200 SERIES, 737-100, 747-100, 747-200B, 747-200F, 747-200C, 747-100B, 747-300, 747-100B SUD, 747-400, 747-400D, 747-400F",57186 : PUMP MOTOR PACKAGE,Parker Hannifin,62080-02,no,57186 : PUMP MOTOR PACKAGE
2338,P00032,Cage,Cage,1e25de49ce52,81.83,81.83,,0,"A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211, A321-231,",201419001 : DAMPER,Messier Dowty,201419607,no,201419001 : DAMPER
2339,P00033,"Spacer, Gerotor Drive","Spacer, Gerotor Drive",e8403fe79c9a,10000,10000,,0,"747-400, 747-400D, 747-400F, 757-200, 757-200PF, 757-200CB, 757-300, 767-200, 767-300, 767-300F, 767-400ER, 777-200, 777-300, 777-300ER, 777-200LR, 777F","622199 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 623303 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 731966 : VARIABLE DISPLACEMENT HYDRAULIC PUMP",Eaton Vickers,571138,yes,"622199 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 623303 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 731966 : VARIABLE DISPLACEMENT HYDRAULIC PUMP"
2340,P00034,Sleeve,Sleeve,1fbd9561a001,236.58,236.58,,1,"A340-211, A340-212, A340-213, A340-311, A340-312, A340-313, A340-541, A340-642",752157 : INTEGRATED DRIVE GENERATOR (IDG),Hamilton Sundstrand,771698-1,no,752157 : INTEGRATED DRIVE GENERATOR (IDG)
2341,P00035,Pump Sleeve,Pump Sleeve,03f62d9bf427,10000,10000,,0,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","729825B : INTEGRATED DRIVE GENERATOR (IDG), 729825C : INTEGRATED DRIVE GENERATOR (IDG), 735874 : INTEGRATED DRIVE GENERATOR (IDG), 735874B : INTEGRATED DRIVE GENERATOR (IDG), 735874C : INTE",Hamilton Sundstrand,755116,yes,Uncategorized
2342,P00037,Spring Retainer,Spring Retainer,39776e567581,256.65,256.65,,1,"A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211, A321-231,",201419001 : DAMPER,Messier Dowty,201419611,no,201419001 : DAMPER
2343,P00039,"Ring, Mating","Ring, Mating",f9816c5a0628,10000,10000,,1,"A310 MODEL 204, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A300 MODEL","350880 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 350880-2 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 350880-3 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 350880-6 : VARIABLE DISPLACEMENT HYDRAULIC PUM",Eaton Vickers,329272,yes,Uncategorized
2344,P00040,Washer,Washer,1670744f95d9,26.31,26.31,,1,"A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A300 MODEL B4-622, A300 MODEL F4-605R, A300 MODEL F4-622R, A300 MODEL C4-605R VARIANT F, A300 MODEL B4-622R",P376A0002 - SPOILER SPEEDBRAKE ACTUATOR,Messier Dowty,S946-3,no,P376A0002 : SPOILER SPEEDBRAKE ACTUATOR
2345,P00042,"Drive Shaft, Starter","Drive Shaft, Starter",35151609c26e,2008.8,2008.8,,1,"747-200B, 747-200F, 747-200C, 747-300, 747-400, 767-200, 767-300, CF6-45A, CF6-45A2, CF6-50C, CF6-50CA, CF6-50C1, CF6-50C2, CF6-50C2B, CF6-50C2D, CF6-50E, CF6-50E1, CF6-50E2, CF6-80A, CF6-80A1, CF6-8","3505448-3-1 : AIR TURBINE STARTER, 3505448-5-1 : AIR TURBINE STARTER, 384022-1-3 : AIR TURBINE ENG. STARTER, 384022-2-1 : AIR TURBINE ENG. STARTER, 384022-3-1 : AIR TURBINE ENG. STARTER, 38",Honeywell,364435-10,no,Uncategorized
2346,P00043,"Shaft, Starter Valve","Shaft, Starter Valve",68eb4134876a,1088.26,1088.26,,3,"CF6-50A, CF6-50C, CF6-50CA, CF6-50C1, CF6-50C2, CF6-50C2B, CF6-50C2D, CF6-50E, CF6-50E1, CF6-50E2, CF6-50E2B","397892-1 : 4"" ? PNEU. SHUTOFF BUTTERFLY VALVE",Honeywell,974209-2,no,"397892-1 : 4"" ? PNEU. SHUTOFF BUTTERFLY VALVE"
2347,P00044,Sleeve,Sleeve,6f3c120217bf,309.39,309.39,,0,"CFM56-3, CFM56-3B, CFM56-3C","8062series : MAIN ENGINE CONTROL ASSY, 8063 Series : MAIN ENGINE CONTROL ASSY",Woodward Governor,3514-060,no,"8062series : MAIN ENGINE CONTROL ASSY, 8063 Series : MAIN ENGINE CONTROL ASSY"
2348,P00049,Roller,Roller,34fe21ba9ec4,50.91,50.91,,2,"CF6-45A, CF6-45A2, CF6-50C, CF6-50CA, CF6-50C1, CF6-50C2, CF6-50C2B, CF6-50C2D, CF6-50E, CF6-50E1, CF6-50E2, CF6-80C2A1, CF6-80C2A2, CF6-80C2A3, CF6-80C2A5, CFM56-3, CFM56-3B, CFM56-3C","8061series : HYDROMECHANICAL FUEL CONTROL , 8062series : MAIN ENGINE CONTROL ASSY, 8063 Series : MAIN ENGINE CONTROL ASSY",Woodward Governor,3224-041,no,"8061series : HYDROMECHANICAL FUEL CONTROL , 8062series : MAIN ENGINE CONTROL ASSY, 8063 Series : MAIN ENGINE CONTROL ASSY"
2349,P00052,Bearing,Bearing,3686a49920e8,11.3,11.3,,0,"CF6-45A, CF6-45A2, CF6-50C, CF6-50CA, CF6-50C1, CF6-50C2, CF6-50C2B, CF6-50C2D, CF6-50E, CF6-50E1, CF6-50E2, CF6-80C2A1, CF6-80C2A2, CF6-80C2A3, CF6-80C2A5, CFM56-3, CFM56-3B, CFM56-3C","8061series : HYDROMECHANICAL FUEL CONTROL , 8062series : MAIN ENGINE CONTROL ASSY, 8063 Series : MAIN ENGINE CONTROL ASSY",Woodward Governor,1411-324,no,"8061series : HYDROMECHANICAL FUEL CONTROL , 8062series : MAIN ENGINE CONTROL ASSY, 8063 Series : MAIN ENGINE CONTROL ASSY"
2350,P00053,Impeller,Impeller,d5aefcc29b78,1698.47,1698.47,,11,"737-100, 737-200, 737-200C, 737-300, 737-400, 737-500",801240-4 : VANEAXIAL FAN,Honeywell,801414-2,no,801240-4 : VANEAXIAL FAN
2351,P00054,Turbine Rotor Matched Set,Turbine Rotor Matched Set,0ea8f8d8bfe3,2187,2187,,0,"747-100, 747-200B, 747-200F, 747-200C, 747SR, 747SP, 747-100B, 747-300, 747-100B SUD","719238-10 : AIR CYCLE MACHINE, 719238-11 : AIR CYCLE MACHINE, 719238-12 : AIR CYCLE MACHINE, 719238-9 : AIR CYCLE MACHINE",Hamilton Sundstrand,753307-3,no,"719238-10 : AIR CYCLE MACHINE, 719238-11 : AIR CYCLE MACHINE, 719238-12 : AIR CYCLE MACHINE, 719238-9 : AIR CYCLE MACHINE"
2352,P00055,"Liner, Lube Pump","Liner, Lube Pump",22ecb231f263,619.32,619.32,,0,"A310 MODEL 204, A310 MODEL 222, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A340-211, A340-212, A340-213, A340-311, A340-","727792C : INTEGRATED DRIVE GENERATOR (IDG), 727792D : INTEGRATED DRIVE GENERATOR (IDG), 727792E : INTEGRATED DRIVE GENERATOR (IDG), 727792F : INTEGRATED DRIVE GENERATOR (IDG), 727792G : INT",Hamilton Sundstrand,742140,no,Uncategorized
2353,P00056,"Liner, Lube Pump","Liner, Lube Pump",4edbe324a451,1507.56,1507.56,,0,"A340-211, A340-212, A340-213, A340-311, A340-312, A340-313, A340-541, A340-642",752157 : INTEGRATED DRIVE GENERATOR (IDG),Hamilton Sundstrand,753549,no,752157 : INTEGRATED DRIVE GENERATOR (IDG)
2354,P00057,Gear Shaft,Gear Shaft,91a1bfe56f4b,1608.37,1608.37,,0,"A340-211, A340-212, A340-213, A340-311, A340-312, A340-313, A340-541, A340-642","752157B : INTEGRATED DRIVE GENERATOR (IDG), 752157C : INTEGRATED DRIVE GENERATOR (IDG), 752157D : INTEGRATED DRIVE GENERATOR (IDG)",Hamilton Sundstrand,753524,no,"752157B : INTEGRATED DRIVE GENERATOR (IDG), 752157C : INTEGRATED DRIVE GENERATOR (IDG), 752157D : INTEGRATED DRIVE GENERATOR (IDG)"
2355,P00058,Gear Shaft,Gear Shaft,e24692674da1,1754.68,1754.68,,0,"A340-211, A340-212, A340-213, A340-311, A340-312, A340-313, A340-541, A340-642","752157B : INTEGRATED DRIVE GENERATOR (IDG), 752157C : INTEGRATED DRIVE GENERATOR (IDG), 752157D : INTEGRATED DRIVE GENERATOR (IDG)",Hamilton Sundstrand,753516,no,"752157B : INTEGRATED DRIVE GENERATOR (IDG), 752157C : INTEGRATED DRIVE GENERATOR (IDG), 752157D : INTEGRATED DRIVE GENERATOR (IDG)"
2356,P00065,"Cross Pin, U-Joint (Med)","Cross Pin, U-Joint (Med)",2bb752580112,170.04,170.04,,0,"737-300, 737-400, 737-500","65C27501-1 : T.E FLAP DRIVE TRANSMISSION, 65C27501-2 : T.E FLAP DRIVE TRANSMISSION, 65C27501-3 : T.E FLAP DRIVE TRANSMISSION, 65C27508-1 : T.E FLAP DRIVE TRANSMISSION, 65C27508-2 : T.E FLAP",Boeing,69-60056-2,no,Uncategorized
2357,P00068,"Bolt, U-Joint (Lg)","Bolt, U-Joint (Lg)",02303699e57a,239.62,239.62,,0,"737-300, 737-400, 737-500","65C27502-3 : T.E FLAP DRIVE TRANSMISSION, 65C27502-4 : T.E FLAP DRIVE TRANSMISSION, 65C27502-5 : T.E FLAP DRIVE TRANSMISSION, 65C27507-3 : T.E FLAP DRIVE TRANSMISSION, 65C27507-4 : T.E FLAP",Boeing,69-73606-1,no,Uncategorized
2358,P00069,"Cross Pin, U-Joint (Lg)","Cross Pin, U-Joint (Lg)",0afc8e83e8b4,268.8,268.8,,0,"737-300, 737-400, 737-500","65C27502-3 : T.E FLAP DRIVE TRANSMISSION, 65C27502-4 : T.E FLAP DRIVE TRANSMISSION, 65C27502-5 : T.E FLAP DRIVE TRANSMISSION, 65C27507-3 : T.E FLAP DRIVE TRANSMISSION, 65C27507-4 : T.E FLAP",Boeing,69-73607-1,no,Uncategorized
2359,P00070,"Spacer, U-Joint (Lg)","Spacer, U-Joint (Lg)",ad6ed4bc42b3,247.97,247.97,,0,"737-300, 737-400, 737-500","65C27502-3 : T.E FLAP DRIVE TRANSMISSION, 65C27502-4 : T.E FLAP DRIVE TRANSMISSION, 65C27502-5 : T.E FLAP DRIVE TRANSMISSION, 65C27507-3 : T.E FLAP DRIVE TRANSMISSION, 65C27507-4 : T.E FLAP",Boeing,69-73608-1,no,Uncategorized
2360,P00074,"Screw, Socket Head","Screw, Socket Head",e7d497956f5b,75.24,75.24,,0,"727 SERIES, 727-100 SERIES, 727-100C SERIES, 727-200 SERIES, 727-200F SERIES, 737-100, 737-200, 737-200C, 737-300, 737-400, 737-500, 737-700, 737-800, 737-600, 737-700C, 737-900, 737-900ER, 747-100,","57186-05 : PUMP MOTOR PACKAGE, 57186-06 : PUMP MOTOR PACKAGE, 57186-07 : PUMP MOTOR PACKAGE, 57186-10 : PUMP MOTOR PACKAGE",Parker Hannifin,62080-03,no,"57186-05 : PUMP MOTOR PACKAGE, 57186-06 : PUMP MOTOR PACKAGE, 57186-07 : PUMP MOTOR PACKAGE, 57186-10 : PUMP MOTOR PACKAGE"
2361,P00075,Sleeve (IDG),Sleeve (IDG),c4cfb067cd1e,695.71,695.71,,0,"A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211, A321-231,","740119 : INTEGRATED DRIVE GENERATOR (IDG), 766219 : INTEGRATED DRIVE GENERATOR (IDG)",Hamilton Sundstrand,749588,no,"740119 : INTEGRATED DRIVE GENERATOR (IDG), 766219 : INTEGRATED DRIVE GENERATOR (IDG)"
2362,P00076,Gland Nut,Gland Nut,72c90a9588cb,10000,10000,,0,"737-300, 737-400, 737-500, 737-700, 737-800, 737-600, 737-700C, 757-200, 737-8, 737-900, 737-900ER","315A1800-4 : THRUST REVERSER NON-LOCKING ACTUATOR, 315A1800-5 : THRUST REVERSER NON-LOCKING ACTUATOR, 315A1800-6 : THRUST REVERSER NON-LOCKING ACTUATOR, 315A1800-7 : THRUST REVERSER NON-LOCKI",Boeing,315A1866-2,yes,Uncategorized
2363,P00078,"Pin, Shear","Pin, Shear",e89b095e8cb3,20.38,20.38,,4,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-",,Ratier-Figeac,FE127-100-04,no,Uncategorized
2364,P00079,Diaphragm,Diaphragm,582f6b14501b,5.64,5.64,,3,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-",,Ratier-Figeac,FE240-221-001,no,Uncategorized
2365,P00080,"Ring, Retaining","Ring, Retaining",709c8eb43108,35.64,35.64,,2,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","729714 : INTEGRATED DRIVE GENERATOR (IDG), 739515 : INTEGRATED DRIVE GENERATOR (IDG), 740119 : INTEGRATED DRIVE GENERATOR (IDG), 752157 : INTEGRATED DRIVE GENERATOR (IDG), 766219 : INTEGRAT",Hamilton Sundstrand,5907508,no,Uncategorized
2366,P00081,"Ring, Retaining, Locking","Ring, Retaining, Locking",f71382581f82,66.93,66.93,,7,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","727792C : INTEGRATED DRIVE GENERATOR (IDG), 727792D : INTEGRATED DRIVE GENERATOR (IDG), 727792E : INTEGRATED DRIVE GENERATOR (IDG), 727792F : INTEGRATED DRIVE GENERATOR (IDG), 727792G : INT",Hamilton Sundstrand,5909942-1,no,Uncategorized
2367,P00082,Wave Spring,Wave Spring,c5f8f9e4ef11,15.96,15.96,,99,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","727792 : INTEGRATED DRIVE GENERATOR (IDG), 729714 : INTEGRATED DRIVE GENERATOR (IDG), 729825 : INTEGRATED DRIVE GENERATOR (IDG), 735874 : INTEGRATED DRIVE GENERATOR (IDG), 739515 : INTEGRAT",Hamilton Sundstrand,725937,no,Uncategorized
2368,P00084,"Screw, Silver Plated","Screw, Silver Plated",02742cd091f7,10000,10000,,0,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","727792 : INTEGRATED DRIVE GENERATOR (IDG), 729714 : INTEGRATED DRIVE GENERATOR (IDG), 735874 : INTEGRATED DRIVE GENERATOR (IDG), 739515 : INTEGRATED DRIVE GENERATOR (IDG), 740119 : INTEGRAT",Hamilton Sundstrand,5904104,yes,Uncategorized
2369,P00087,Pin,Pin,635c4a7fb5bd,217.04,217.04,,0,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325","FE209-000 : ACTUATOR DOOR EMERGENCY EXIT, FE209-001 : ACTUATOR DOOR EMERGENCY EXIT",Ratier-Figeac,FE209-100-07,no,"FE209-000 : ACTUATOR DOOR EMERGENCY EXIT, FE209-001 : ACTUATOR DOOR EMERGENCY EXIT"
2370,P00089,"Arm, Assembly of","Arm, Assembly of",a0c11319bfba,221.07,221.07,,0,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310","978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE",Honeywell,3163907-1,no,"978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE"
2371,P00094,Inner Gland Nut,Inner Gland Nut,ca519bde2262,339.7,339.7,,0,"A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A300 MODEL B4-622, A300 MODEL F4-605R, A300 MODEL F4-622R, A300 MODEL C4-605R VARIANT F, A300 MODEL B4-622R",P376A0002 - SPOILER SPEEDBRAKE ACTUATOR,Messier Dowty,P376A0056-00,no,P376A0002 : SPOILER SPEEDBRAKE ACTUATOR
2372,P00095,Outer Gland,Outer Gland,bec44e2affea,460.4,460.4,,0,"A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A300 MODEL B4-622, A300 MODEL F4-605R, A300 MODEL F4-622R, A300 MODEL C4-605R VARIANT F, A300 MODEL B4-622R",P376A0002 - SPOILER SPEEDBRAKE ACTUATOR,Messier Dowty,P376A0057-01,no,P376A0002 : SPOILER SPEEDBRAKE ACTUATOR
2373,P00096,"Shaft, Anti-Ice Valve","Shaft, Anti-Ice Valve",ed794344a5a9,10000,10000,,0,"737-300, 737-400, 737-500",172625-7 : NOSE COWL TAI VALVE,Whittaker Controls,322482,yes,172625-7 : NOSE COWL TAI VALVE
2374,P00097,Shaft,Shaft,8daba464bc69,366.97,366.97,,2,"A318-111, A318-112, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131,","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 324195-1 : PRESSURE ACTUATED BUTTERFLY VALVE, 324425 : SHUTOFF VALVE PARTS, 326975 : ON/OFF",Whittaker Controls,229717,no,Uncategorized
2375,P00099,Valve Seat,Valve Seat,4b03c1f2d8ca,4487.58,4487.58,,0,"747-100, 747-200B, 747-200F, 747-200C, 747SP, 747-100B, 747-300, 747-100B SUD","227565 : PNEUMATIC BLEED VALVE, 320625 : PNEUMATIC BLEED VALVE",Whittaker Controls,225790,no,"227565 : PNEUMATIC BLEED VALVE, 320625 : PNEUMATIC BLEED VALVE"
